"ICB_CODE","ICB_NAME","sex","age_group","pop","YEAR"
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","11-15",30810,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","16-20",33230,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","2-5",26300,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","21-25",35778,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","26-30",34961,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","31-35",33800,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","36-40",31706,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","41-45",36980,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","46-50",41662,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","51-55",40722,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","56-60",35286,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","6-10",32494,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","61-65",32052,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","66-70",33717,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","71-75",26176,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","76-80",18494,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","81-85",11451,2016
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","Male","86-90",7477,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","0-1",4754,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","11-15",13585,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","16-20",13245,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","2-5",10491,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","21-25",13467,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","26-30",13791,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","31-35",13539,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","36-40",13271,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","41-45",15942,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","46-50",18347,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","51-55",18144,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","56-60",15996,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","6-10",13597,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","61-65",15274,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","66-70",16422,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","71-75",12770,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","76-80",9762,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","81-85",6924,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Female","86-90",7033,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","0-1",5133,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","11-15",13830,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","16-20",14458,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","2-5",11044,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","21-25",14727,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","26-30",14487,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","31-35",13806,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","36-40",13252,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","41-45",15787,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","46-50",18000,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","51-55",18168,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","56-60",15448,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","6-10",14208,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","61-65",14626,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","66-70",15258,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","71-75",11893,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","76-80",8480,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","81-85",5484,2016
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Male","86-90",3745,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","0-1",7592,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","11-15",18808,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","16-20",21684,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","2-5",15870,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","21-25",22369,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","26-30",21477,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","31-35",20910,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","36-40",20022,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","41-45",23836,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","46-50",27267,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","51-55",27868,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","56-60",24785,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","6-10",19540,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","61-65",23864,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","66-70",26635,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","71-75",20535,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","76-80",15756,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","81-85",11377,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Female","86-90",11249,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","0-1",7978,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","11-15",19379,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","16-20",21775,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","2-5",16447,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","21-25",22403,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","26-30",21262,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","31-35",20429,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","36-40",19160,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","41-45",22343,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","46-50",25709,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","51-55",26542,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","56-60",23388,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","6-10",20512,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","61-65",22416,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","66-70",25549,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","71-75",19621,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","76-80",14199,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","81-85",9045,2016
"E54000013","NHS Lincolnshire Integrated Care Board","Male","86-90",6540,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","0-1",12299,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","11-15",29466,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","16-20",35088,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","2-5",25722,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","21-25",37601,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","26-30",34696,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","31-35",35460,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","36-40",32870,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","41-45",35758,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","46-50",38022,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","51-55",36958,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","56-60",31937,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","6-10",31783,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","61-65",28663,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","66-70",29138,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","71-75",21968,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","76-80",17555,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","81-85",13034,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Female","86-90",13483,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","0-1",13047,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","11-15",31258,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","16-20",38372,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","2-5",26861,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","21-25",40201,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","26-30",33039,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","31-35",34050,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","36-40",32955,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","41-45",35004,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","46-50",37143,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","51-55",36592,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","56-60",31803,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","6-10",33541,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","61-65",28566,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","66-70",28132,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","71-75",20162,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","76-80",14851,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","81-85",9871,2016
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Male","86-90",6972,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","0-1",10321,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","11-15",23929,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","16-20",28001,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","2-5",21624,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","21-25",30040,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","26-30",30103,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","31-35",29651,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","36-40",27957,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","41-45",29752,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","46-50",32199,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","51-55",30743,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","56-60",25755,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","6-10",26304,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","61-65",23428,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","66-70",24717,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","71-75",20293,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","76-80",15614,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","81-85",11655,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Female","86-90",12248,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","0-1",10970,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","11-15",24791,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","16-20",30918,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","2-5",22932,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","21-25",32501,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","26-30",30322,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","31-35",29653,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","36-40",27874,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","41-45",29555,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","46-50",31742,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","51-55",30736,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","56-60",26293,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","6-10",27765,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","61-65",23053,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","66-70",23355,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","71-75",18447,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","76-80",13421,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","81-85",8611,2016
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Male","86-90",6416,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","0-1",7543,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","11-15",20154,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","16-20",19854,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","2-5",16461,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","21-25",20901,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","26-30",21782,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","31-35",21958,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","36-40",21708,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","41-45",25328,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","46-50",29167,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","51-55",28765,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","56-60",25810,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","6-10",20580,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","61-65",24963,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","66-70",26563,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","71-75",20760,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","76-80",15776,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","81-85",11929,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Female","86-90",12669,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","0-1",8119,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","11-15",21335,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","16-20",21323,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","2-5",17399,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","21-25",21674,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","26-30",21880,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","31-35",21618,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","36-40",21219,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","41-45",24510,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","46-50",28015,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","51-55",28319,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","56-60",24894,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","6-10",22081,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","61-65",23861,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","66-70",25816,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","71-75",19482,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","76-80",14097,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","81-85",9282,2016
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Male","86-90",6592,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","0-1",10030,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","11-15",24408,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","16-20",27388,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","2-5",21307,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","21-25",29671,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","26-30",29224,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","31-35",28356,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","36-40",26543,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","41-45",31066,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","46-50",35006,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","51-55",35420,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","56-60",32509,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","6-10",26035,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","61-65",32467,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","66-70",37190,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","71-75",28390,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","76-80",22525,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","81-85",17264,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Female","86-90",18233,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","0-1",10519,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","11-15",25733,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","16-20",28178,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","2-5",22167,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","21-25",30032,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","26-30",29104,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","31-35",28346,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","36-40",26715,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","41-45",30255,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","46-50",34144,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","51-55",34435,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","56-60",30675,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","6-10",27515,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","61-65",29880,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","66-70",35020,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","71-75",26903,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","76-80",20230,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","81-85",13717,2016
"E54000022","NHS Norfolk and Waveney Integrated Care Board","Male","86-90",10135,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","0-1",10226,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","11-15",24925,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","16-20",25459,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","2-5",21467,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","21-25",27112,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","26-30",28654,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","31-35",27881,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","36-40",27267,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","41-45",30858,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","46-50",34398,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","51-55",33961,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","56-60",30252,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","6-10",26701,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","61-65",29221,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","66-70",33542,2016
"E54000023","NHS Suffolk and North East Essex Integrated Care Board","Female","71-75",24997,2016
